pct_lt_18,pct_65_and_over,pct_alcoholimpaired,pct_children_in_poverty,elevation,hosp_pp_rate,chronic_kidney_disease_pct,pct_drive_alone,pct_excessive_drinking,pct_fair_poor,pct_female,housing_dens,pct_free_or_reduced_lunch,pct_frequent_mental_distress,pct_frequent_physical_distress,pct_hispanic,pct_deep_poverty,pct_insufficient_sleep,pct_good_air,pop_dens,pct_long_commute_drives_alone,chronic_kidney_disease_std_spend,pct_nonhispanic_white,pct_not_proficient_in_english,diab_hosp_rate_adj,pct_physically_inactive,pct_rural,diabetes_incidence_2016,pct_severe_housing_cost_burden,pct_severe_housing_problems,pct_singleparent_households,pct_smokers,pct_some_college,pct_unemployed,pct_uninsured,diabetes_incidence_5_year_diff,diabetes_pct,pct_lack_basic_literacy,adm_pp_rate,pct_children_in_poverty_hispanic,average_daily_pm2.5,budget_administrative,budget_air,budget_disease,budget_emergency,budget_environmental,budget_health_equity,budget_health_info,budget_health_svcs,budget_laboratory_svcs,budget_planning,budget_prevention,budget_waste,budget_water,pct_children_in_poverty_white,pct_food_insecure,pct_homeowners,comm_hlth_cntrs_pp_rate,pct_lbw,diabetes_prevalence_2016,pct_limited_access,pct_screened,fips,county,state,food_environment_index,graduation_rate,pct_vaccinated,pct_with_access,ageadjusted_mortality,injury_death_rate,kidn_hosp_pp_rate,life_expectancy,mds_dos_pp_rate,mentally_unhealthy_days,dentist_rate,inadequate_facilities,diabetes_prevalence_5_year_diff,mhp_rate,overcrowding,pcp_rate,physically_unhealthy_days,population,preventable_hosp._rate,pct_adult_uninsured,pct_child_uninsured,short_hosp_pp_rate,teen_birth_rate,violent_crime_rate,frac_coll_plus2010,rent_twobed2015,traveltime15_2010,ann_avg_job_growth_2004_2013,pct_staying_in_same_tract_as_adults_rp_gp_pall,race_estimate_total_american_indian_and_alaska_native_alone,race_estimate_total_asian_alone,race_estimate_total_black_or_african_american_alone,race_estimate_total_native_hawaiian_and_other_pacific_islander_alone,race_estimate_total_some_other_race_alone,race_estimate_total_two_or_more_races,race_estimate_total_white_alone,pct_only_english,pct_other_languages,median_income,gini_index_of_income_inequality_estimate_gini_index,mean_hours,pct_vacant,median_value,association_rate,medicare_avg_age,medicare_pct_female,medicare_avg_hcc,medicare_std_adj_cost_pp,pct_medicare_beneficiaries,med_2br_rent_per_med_inc,walk_score,diabetes_std_spend,obesity_prevalence_2016,obesity_prevalence_5_year_diff,overobese_pct,pct_diabetic,pct_obese
18.802966102,27.145127119,18.181818182,42.8,7536.0,0.0,16.7197,74.058919804,12.104991381,28.953848927,47.695974576000005,2.1,83.402489627,14.083104,16.244199573,62.208686441000005,8.1,28.823523025,0.0,2.9,25.3,16378.223125,33.156779661,7.2895574197,1664.07,19.6,100.0,20.3,16.46385111,18.213058419,39.097744361,18.78240666,52.512998267,3.5480349345,14.732479277000001,11.9,19.4268,25.0,0.0,53.535353535,4.2,0.0,0.0,0.0,13.042155012101533,10.429672100065595,0.0,0.0,4.691231718666268,0.0,9.416433648759932,0.0,0.0,62.42050752040667,39.411764706,8.1,71.364795918,0.0002612330198537096,18.316831683,18.2,49.231556906,24.0,8023,Costilla County,CO,4.8,92.30769230799999,34.0,42.42338252,454.9,104.58523697,0.0,77.746585795,0.0,4.3779884309,0.0,4.4673539519,10.2,26.48305,0.9621993127,,4.837304914,3776.0,2730.0,17.497456765,7.2702331962,0.0,32.307692308,226.24434389,14.316078,557.0,44.813567,1.7328568,22.62,1.460859977949283,1.4884233737596473,0.35832414553472997,0.0,1.846747519294377,3.1146637265711132,91.73098125689084,53.71709574775817,1.417413942724906,29000.0,0.5199,38.1,43.75896700143472,114200.0,5.3748992206,69.0,45.629999999999995,0.85,7269.98,28.840042372881356,23.048275862068966,35.0,10813.013642,37.4,9.4,71.8,9.0,21.7
26.908759915,10.102212585,32.188841202,13.7,5283.0,0.9768143349457282,24.1094,77.665579012,19.677619071,14.830817166,49.510202378,139.7,53.479784842,10.355505238,10.726319656,40.046545183,4.6,31.037644759000006,54.52,378.2,45.1,22046.150059,50.146571615,6.665957215700001,1717.27,18.0,3.6204464191,9.0,14.538989332,18.486241461,30.814632830999997,18.069835361,56.641970711000006,3.0554683852,11.962599502,-0.4,23.9884,14.000000000000002,0.1117241163737526,23.198274216999998,9.2,0.27188630179413004,0.08633794040556156,0.0,0.029845001081201493,0.2800455934786073,0.42603739043415145,0.0,0.41828730687560967,12.38027648800303,0.0,5.892124467621971,4.542677437957475,75.67248207234833,6.073034151,8.1,64.751273783,2.735080137848039e-05,8.728668942,8.9,5.626211316900001,33.0,8001,Adams County,CO,8.8,75.098273799,44.0,92.481255789,322.2,73.814727082,1.9536286698914564e-06,79.15769188899999,1.1721772019348735,3.5140661337,62.60347000000001,0.5682180936,0.4,314.60728,4.9894656196,42.75503,3.4887859412,503167.0,3250.0,14.947970527,5.2157138349,5.860886009674369e-06,30.353612593,372.42750473,20.083889,1037.3242,18.204127,1.6261956000000002,18.35,1.197704212360357,3.908373475453522,3.2143076765399203,0.12380854770933689,5.172696525571386,3.4893922312186123,82.89371733114686,71.41178531126053,5.242842858821469,64087.0,0.4058,39.4,3.997636981243539,241900.0,4.4762308129,68.0,52.910000000000004,1.01,9913.46,10.60979754236665,19.423425031597674,61.0,15922.777521,29.8,3.2,66.6,7.6,26.8
26.527370479000002,18.927174976,16.666666667,28.2,7536.0,12.195121951219509,17.7756,77.279151943,15.057301752999999,23.371822498,49.670087977,3.3,60.395408163,12.587724964000001,13.980276593,52.113880743,4.5,28.58903011,0.0,6.4,31.7,22630.250448,44.94134897399999,3.3324517323,1583.26,19.5,100.0,11.2,11.63115613,14.576271186,22.792149866,17.06183625,60.691271236000006,4.2091836735,9.2276984493,3.1,24.5283,21.0,0.016707317073170733,32.837209302,4.4,0.0,0.0,0.0,22.170252632095337,15.665279595722389,0.0,0.0,22.863018276143602,9.335214156087373,17.4891669260191,0.0,0.3259956505243804,12.151072763407832,22.035480859,7.3,78.07486631,0.00024390243902439024,10.107816712,11.0,2.7094259371,21.0,8021,Conejos County,CO,9.2,89.18918918899998,27.0,22.117248061999998,414.2,119.5559351,0.0,76.061112851,0.0,4.0715804443,12.21896,0.3389830508,3.6,24.43793,3.1525423729,61.50818,4.361004487,8184.0,2827.0,11.146280805,5.402971634400001,0.00012195121951219512,32.200357782,44.952478808,18.580416,529.10547,25.890397999999998,-0.92682373,28.52,2.0498342948324537,0.07364674113170491,0.47870381735608214,0.12274456855284155,4.688842518718546,1.927089726279612,90.65913833312877,66.45067442475535,3.4911399100766993,35657.0,0.4386,38.6,31.70509016206345,113100.0,6.1508180588,71.0,49.76,0.94,9886.93,21.248778103616814,17.806505426704433,76.0,12932.462032,33.6,9.9,62.7,7.2,23.6
14.115716044000001,30.960196963,0.0,24.9,7860.0,0.0,12.0308,65.987933635,15.297763297000001,13.225810171,48.522773902,5.4,48.525469169,11.24439245,10.600425773,5.6421830119,3.6,24.987807844000002,0.0,5.8,29.8,12467.31529,90.213377103,0.7098694756,707.07,18.7,100.0,7.4,17.084942085,27.318295739,25.12,14.671794477,64.41717791399999,3.0272952854,12.105088128,-0.699999999999999,13.1858,7.000000000000001,0.0,,4.2,0.0,0.0,0.0,19.102019384686745,11.470504717958585,0.0,42.816484588312775,0.0,0.0,13.055054831419305,0.0,0.0,13.555936477622593,27.663551402,14.1,81.892021022,0.0,12.087912088,7.7,6.5990089389,36.0,8027,Custer County,CO,7.6,86.956521739,23.0,94.994124559,404.4,124.07497674,0.0,78.339128653,20.185708518368994,3.6674754286,,2.2556390977,0.2,41.03406,3.2581453634,43.45937,3.3939829478,4874.0,1728.0,12.873369794,9.431137724600001,0.0,19.53125,125.15644556,29.166666000000003,676.0,43.3213,-0.7329295400000001,15.55,0.9544950055493896,0.0,2.486126526082131,0.06659267480577138,0.6215316315205327,2.6637069922308543,93.20754716981132,93.38218456606367,2.747881841080833,41330.0,0.4331,36.5,52.366863905325445,248300.0,28.248587570999998,71.0,46.5,0.69,8065.8,30.283135002051704,19.627389305589162,7.0,7969.5650323,38.1,12.2,56.39999999999999,7.4,22.1
26.606103806,11.386851735,38.823529412,2.7,6300.0,1.166942843139543,19.9008,77.97353149899999,19.692556938,8.2891669546,50.113779045,127.2,11.621096624000002,8.7096712537,7.375829594500001,8.7140134626,1.7,24.896147522,59.07,339.7,42.3,20652.365081,82.578534383,0.7676982335,864.65,9.6,10.287425779,5.2,9.498727690099999,10.718624848,15.133267300000002,9.527502292000001,88.53945318,2.3905534669,3.6564112649,-0.3,16.8176,4.0,0.08767533316218172,7.1679709651999985,7.0,0.301532886211221,0.033050766567941384,1.3474337519829815,1.6334949282890803,2.6311636103005207,15.267846150727546,12.7535684553711,0.0,9.275537778148719,0.01081910042033394,0.0,2.226637247432212,54.518915324548345,3.1874593617,8.3,79.46554890600001,2.9173571078488576e-06,8.4990059642,5.5,1.7455362127,48.0,8035,Douglas County,CO,9.1,90.43345008799999,50.0,93.490270261,166.9,50.90486826,0.0,83.97351893,1.166942843139543,2.9316980071,66.80604,0.3329883454,0.0999999999999996,100.20907,0.9899653512,68.46564000000001,2.4857312471,335299.0,2721.0,4.3400695905,2.3380525618,8.752071323546573e-06,4.7001097553,113.61496356,54.559796999999996,1358.2217,20.831326,1.9968245,11.9,0.2539415467065495,4.4114164641365985,1.1858914438835921,0.06138218981741135,1.3955879603664236,3.011154732971895,89.68062566211754,90.72951255146766,5.7002922034798775,111154.0,0.3986,39.8,3.59611670224662,407100.0,6.0858346114,72.0,54.53,0.85,11914.45,11.081154432312653,14.663134390125412,8.0,14695.448658,21.3,3.5,56.7,4.9,18.6
22.228510918,10.839480025999999,29.032258065,8.8,6497.0,1.818413252595785,9.4432,73.942398346,22.947914536,10.586307261,47.007595122,18.6,40.864227250999996,9.2458419117,8.7833224918,29.701307236999998,2.9,23.58048243,0.0,31.0,30.0,20975.116551,67.059811583,6.3218504521000005,395.76,9.3,19.983907120999998,3.8,14.939689833,18.834080717,22.258441993,13.296327518,70.458777721,2.3165582563,12.873053965999999,-2.7,8.8631,13.0,0.039368646918698735,20.689013035,4.2,0.08338441824160263,0.11914284559939446,0.0,5.871009844158678,1.6537467662191583,0.0,6.170305418818634,0.5271900449135929,6.272873346269413,6.672531804988699,0.0,3.8813519974954582,68.74846351329539,0.9907422446,7.1,70.41373487199999,9.092066262978924e-05,9.2576028623,4.1,4.1579162517000015,45.0,8037,Eagle County,CO,9.1,70.766129032,47.0,97.844703719,139.5,49.673759183,0.0,89.74766171600002,3.63682650519157,3.0611992407,63.90126,1.2331838565,-2.2,153.36302999999995,3.615470852,79.64585,2.8888501207,54772.0,1688.0,14.432454583,8.3956251475,1.818413252595785e-05,19.542661428,144.27581038,45.145120999999996,1330.3702,43.460312,1.5238888000000002,20.05,0.42809812753601606,0.8710866247254587,0.8580575512787104,0.08748092171388153,7.195771135018426,1.6863343632505676,88.87317127647694,72.11856190268901,3.084746433447437,83803.0,0.4329,40.3,44.331286036600645,471100.0,8.3350312101,72.0,48.58,0.65,11975.98,8.902358869495362,19.049965275706125,58.0,12606.349467,16.3,1.1,45.5,3.3,13.8
21.123682181,13.383903317,0.0,18.5,10158.0,12.781186094069525,15.0943,67.022308438,19.844673775,14.934204187999999,46.01439958899999,11.3,60.890609874,10.917730553,10.814906990999999,36.153252764,7.4,27.124705005,0.0,19.4,46.6,18180.544083,60.259706866,3.7229558865,840.53,14.7,31.067031464,13.9,10.215736041,16.033057851,29.398324448,15.342347430999999,53.076601088000004,2.1559923906,12.068965517,6.2,14.8041,19.0,0.0006390593047034765,14.319248825999999,3.9,0.0,0.0,0.0,4.128030862213309,1.705316202726704,0.0,0.0,21.829034328203583,0.0,4.904921608622129,20.213738141430106,2.686288078886164,44.532670777918,8.7527352298,8.7,57.581227436999995,0.00025562372188139056,11.171171171,13.0,7.884144429299999,36.0,8065,Lake County,CO,8.4,54.666666667,46.0,98.659370725,293.3,74.579160452,0.0,80.55961494,0.0,3.5303679182,51.4271,0.0,5.7,51.4271,3.4710743802,78.76083,3.3827176341000005,7778.0,1361.0,13.97043936,6.4573459716,0.00012781186094069528,35.003431709000004,201.54517971,20.416188,749.54309,37.771544,1.2872895,26.669999999999998,0.3074455286726373,0.6416254511428954,0.12030477208929287,0.46785189145836115,9.22336586017912,1.1495789332976876,88.08982756316,81.01994942399551,2.177577971340264,46176.0,0.4092,40.7,29.06530089628681,197600.0,13.126804936,70.0,48.76,0.75,9882.29,11.416816662381075,19.47877053014553,71.0,14388.693083000002,33.0,8.6,61.1,5.5,20.1
19.120689345,16.472683445,42.222222222,11.2,6550.0,3.551767004084532,17.3429,73.817567568,20.588112624,11.181260107,49.547572361,15.3,33.23491656,10.60666797,9.2118451074,12.833474249000002,4.7,23.2892142,65.75,30.3,27.2,15617.062624,78.57309899399999,0.6578438201,661.02,11.7,59.94857209600001,5.8,13.456602339000002,15.059260981,25.708540789,12.939087465999998,76.332288401,2.4500993284,10.329271798999999,-1.3,13.1344,7.000000000000001,0.081974782454271,12.659423712999999,5.0,0.0,0.16772530189795667,0.07886408736369276,3.8791090007333695,11.46156576525614,0.0,0.6338918686737929,0.8365091664722429,7.30540028557443,7.352554385234581,6.675980326110508,2.3079177691984367,59.300482043484834,7.2611816676,11.1,68.200568338,5.327650506126798e-05,7.4578989575,6.0,4.3927139194,40.0,8067,La Plata County,CO,8.3,83.261802575,44.0,78.396384463,243.8,80.535045557,0.0,82.005741501,1.775883502042266,3.5792569986,88.14694,0.7204276086,-0.5,368.778,1.8126888218,107.86905,3.0625104474,55589.0,1807.0,11.593867515,6.4131312225,1.7758835020422655e-05,14.844582957,174.58228218,40.68045,964.34424,36.553928,0.31545404,20.36,5.924470799904532,0.6352237052268264,0.5030384255264462,0.049569479887642515,1.8652811691053626,2.3499605280067564,88.67245589234244,88.83213373577897,3.606532002167015,62533.0,0.4364,37.6,19.452135710857608,356700.0,10.607122953,72.0,50.63999999999999,0.75,9578.55,16.490672615085717,18.50563843090848,38.0,11661.452692,21.8,1.7,48.9,4.9,16.7
25.809153911,14.835122990999999,33.333333333,15.2,6285.0,7.582650894752806,13.7117,72.554002541,18.561280681,13.921862365,48.56446576800001,1.3,44.434429923,10.486752536000001,10.361144701,15.70329754,4.6,28.176941365999998,79.15,2.9,22.8,21339.416825,80.412763689,1.9343780607,1459.61,19.9,27.357738311,10.9,10.301810865,15.045135405999998,23.982869379,15.529455569000001,51.230101302,3.3220338983,9.8140865213,2.3,21.301,11.0,0.08219593569912041,7.876230661,4.3,0.0,1.7236998405708919,0.0,0.0,0.0,1.059772042631255,0.0,0.0,0.0,12.367995850363602,0.0,3.777601545050525,81.07093072138372,7.054963084500001,11.2,69.821673525,0.00015165301789505612,8.564631245,10.7,8.314667074299999,35.0,8081,Moffat County,CO,8.0,81.35593220300001,44.0,76.571221457,380.5,101.2145749,0.0,79.871802039,7.582650894752806,3.3766880322,38.07783,0.6018054161999999,2.7,152.31132,1.9859578736,45.77008,3.3606539575,13131.0,4036.0,11.536511156,5.8636626228,7.582650894752806e-05,42.63138552,159.08738165,14.663829,663.7041,48.946901999999994,-0.47492152000000004,21.8,0.5974264705882354,0.17616421568627452,0.9650735294117649,0.5897671568627451,0.9497549019607843,1.8535539215686274,94.86825980392156,89.32419196865817,1.5915768854064642,53010.0,0.424,38.5,18.573480134035425,169200.0,11.442520406,71.0,51.25999999999999,0.79,11510.25,15.208285736044475,15.024427843803057,67.0,11063.644271,32.6,1.6,61.6,7.5,24.9
15.231973169000002,18.468418111,16.666666667,6.8,7928.0,5.571030640668523,,51.803101334,23.204575899,9.5969609502,47.95416433800001,13.3,11.095571095999999,9.482342937,8.855372003200001,10.139742873,4.2,24.616017013,100.0,17.7,19.8,21596.128679,85.679150363,0.6834786708,207.62,10.8,44.203405645,2.9,15.99546228,18.626155878,29.873772791,12.700586505,77.353342428,3.0910079768000003,12.054664127999999,-3.2,,6.0,0.049749303621169916,8.1794195251,4.0,0.0,0.18077383602005337,0.0,4.926374626285577,2.9479083259523575,0.0,0.0,0.8473138614015963,14.112014888991295,11.519354540793495,0.0,25.247729252784794,40.21853066777084,3.7374658159,11.7,64.809264305,5.571030640668524e-05,10.065645514,3.2,1.7181700193,43.0,8097,Pitkin County,CO,8.5,92.80575539600001,50.0,93.66106834600001,129.8,62.19327408,0.0,92.918755408,0.0,3.1420890265,55.89715,1.6380449141,-3.0,313.02404,1.9154557464,73.23119,2.9612232191000003,17890.0,1066.0,12.621035058,9.6673596674,5.571030640668524e-05,3.895184136,62.071495077,59.415734,1509.3875,48.411906,-0.08776208900000002,19.1,0.1859469206062997,1.3861497717924156,1.5270186510396124,0.0,3.7076689017862168,1.5382881613793882,91.65492759339607,85.95922696205514,5.544426113598869,67755.0,0.5759,39.9,45.926035067039926,593600.0,19.716088327999998,73.0,48.17,0.65,13818.65,14.678591391839015,26.732565862297985,84.0,10723.28,18.7,1.9,36.6,4.7,15.3
23.059906203,19.591186621,7.1428571429,26.3,7884.0,8.888888888888891,19.7118,78.120835184,15.71661573,17.160647281,50.07521458300001,7.3,58.299798793,11.292465664000002,11.868778294,44.066896735,7.2,25.945847199,0.0,13.1,17.7,17376.250173,52.535173878,3.5135135135000004,1503.09,15.3,62.535469871000004,10.0,13.286405631,15.926327194,23.835920177,13.698436807,58.627300613,4.334251607,12.177491103,1.6,20.6382,16.0,0.04986666666666666,24.404761905,4.4,0.0,0.0,0.0,4.746844889792577,12.30394720641738,0.0,0.0,2.75524838551119,13.331734003504305,2.1839786814288202,0.0,3.2573889643486247,61.4208578689971,23.392857143,9.4,66.168421053,8.888888888888889e-05,10.710607621,9.8,5.3681933528,30.0,8105,Rio Grande County,CO,8.5,84.939759036,33.0,78.350859623,411.0,119.51570159,0.0,76.783408925,0.0,3.6495122138,61.941419999999994,1.0834236186,2.1,26.54632,3.4452871073,113.25028,3.8054110786,11301.0,4530.0,14.441501792,6.656859139400001,8.888888888888889e-05,35.225048924,200.85582045,19.437934000000002,491.27466,53.320074,-3.8796086,29.26,2.388451443569554,0.2274715660542432,0.594925634295713,0.20122484689413822,3.5258092738407703,1.4260717410323709,91.63604549431321,72.80521901211556,2.6188257222739986,38534.0,0.4641,38.7,29.357525282569895,143000.0,19.165432529,72.0,51.17,0.89,9278.72,25.555260596407397,15.298946177401776,76.0,11615.19472,34.4,5.9,72.0,7.3,23.0
25.365853659000006,20.433604336,40.0,21.4,4284.0,53.30490405117271,,73.139158576,18.819087537,12.289804253,49.70189701899999,0.6,45.625,10.277793283,9.5778100051,11.761517615,4.3,26.273965876,0.0,1.0,11.3,21766.327885,85.040650407,1.5995872033,1252.94,22.5,100.0,21.2,8.146067415700001,7.382550335599999,14.351851852000001,13.528306367999999,59.8,1.7467248908000002,13.424657534000001,12.4,,11.0,0.031982942430703626,18.75,5.8,0.0,0.0,0.0,4.79906479715606,5.032524085466493,0.0,0.0,0.0,60.03293252387554,3.990031472941942,0.0,0.0,26.14544712055997,8.971553610499999,10.2,73.45360824699999,0.0,5.4644808743,18.4,9.8792927929,16.0,8017,Cheyenne County,CO,8.0,88.888888889,33.0,55.174291939,,118.49617581,0.0,78.040394065,0.0,3.4460484085000003,0.0,1.0738255034,10.5,,0.5369127517,54.11255,3.1174861414,1845.0,4205.0,14.44332999,11.387163561,0.0005330490405117272,,80.14961261,18.454364,608.0,67.239529,-3.5851574999999998,26.490000000000002,0.18805829807240246,3.05594734367654,0.0470145745181006,0.14104372355430186,0.09402914903620123,2.1156558533145273,94.35825105782793,88.18369453044376,2.5283797729618156,54907.0,0.4023,44.0,15.743756786102061,90000.0,10.822510823,74.0,53.56000000000001,0.84,9452.08,18.26558265582656,13.28792321561914,30.0,9485.4945455,32.4,0.5999999999999979,66.2,6.9,22.8
14.920848771,17.295385652,28.571428571,34.8,3891.0,0.0,23.9456,77.735849057,17.781493539,20.760108993,34.489727181,1.5,68.09045226100001,11.887792583,13.268047905,32.586729539000004,7.5,31.043706994,0.0,4.3,20.1,16118.344975999997,55.96160323300001,2.4490525563,1930.26,19.4,37.959686106,13.5,21.829268293000002,18.042813455999998,29.125138427,20.664542499,33.219678519,2.7012987013,12.458908613,3.6,23.1293,16.0,0.0,38.043478261,5.4,0.0,0.0,0.0,8.808586523251043,7.988317173948029,0.0,0.0,0.0,14.464927640979106,15.331227597303016,0.0,0.0,53.40694106451881,28.16091954,13.1,62.556818182,0.00017001020061203673,10.780669145,13.2,12.101555187999999,31.0,8011,Bent County,CO,7.3,70.108695652,37.0,85.120787814,451.9,100.18309324,0.0,77.796382362,0.0,3.8031767695,,0.6116207951,4.3,84.20344,3.3639143731,17.06193,4.0835545338,5938.0,6589.0,15.151515152,5.6306306306,0.0,28.540065862,133.48758565,13.209681000000002,545.0,50.178999000000005,-4.2666740999999995,26.72,0.9645194626248709,0.44781260764726144,6.062693765070618,0.0,1.3262142611091972,1.3089906992766105,89.88976920427145,86.25312835180551,0.9116910976045765,32500.0,0.47,38.8,21.847246891651864,77700.0,6.824773929400001,71.0,51.78,1.03,8511.35,16.082856180532165,20.123076923076923,62.0,12732.27319,39.3,8.4,76.7,6.9,25.4
12.203098107,13.356282272,50.0,37.6,4310.0,0.0,23.5294,78.268251273,17.841836728,23.50594932,26.574870911999998,2.0,72.99771167,12.803404399000001,14.508212201,31.222030981,5.0,32.396830172,0.0,7.4,37.2,16141.035069,54.337349398,3.3545727136,1690.88,17.2,100.0,14.0,17.652173913,15.811965812,32.451253482,22.025341021,33.720255369,3.0864197531,8.2534389329,3.7,30.8824,14.000000000000002,0.0,29.411764706,5.4,0.0,0.0,0.0,49.40288321579275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.59711678420725,30.841121495,14.5,73.909465021,0.0,9.3495934959,13.5,4.8635991993,38.0,8025,Crowley County,CO,7.7,82.75862069,32.0,33.127253993000004,362.4,93.700446879,0.0,78.06036440000003,0.0,4.0030492081,,1.6239316239,4.3,,2.0512820513,17.56235,4.3925270543,5810.0,5123.0,9.794721407599999,4.8582995951,0.0,50.874403816000004,65.18904824,12.165681000000001,525.0,49.578059,-2.1783972,26.27,1.414581066376496,0.4715270221254987,4.298150163220892,0.0,1.759158505622053,5.059847660500544,86.99673558215451,87.21889055472263,1.705397301349325,35292.0,0.4201,35.8,23.440453686200367,79700.0,7.024938531799999,69.0,51.43,0.96,8518.93,12.994836488812393,17.851071064263856,0.0,13005.336484,43.1,12.8,68.8,6.1,22.9
